Initialization Started
Proportional gain (x1000): 0
Homing results, inbound: -172997, outbound: 23611
Starting mode 0
status, rpm, act_vel, enc_pos, in_trig, out_trig, s_time, f_time, o_vol, o_curr, couple, therm1, therm2, therm3, wheel_rpm, wheel_count, estop
4, 48, 0, 24100, 0, 1, 4126, 4133, 24, 0, 221.61, 49.85, 47.29, 47.67, 7990, 1099, 0
4, 24, 0, 24199, 0, 1, 4142, 4148, 24, 0, 222.26, 49.85, 47.29, 47.67, 3995, 1099, 0
4, 12, 0, 24188, 0, 1, 4157, 4163, 24, 0, 221.61, 49.85, 47.29, 47.67, 1997, 1099, 0
4, 6, 0, 24104, 0, 1, 4176, 4182, 24, 0, 221.61, 49.85, 47.29, 47.67, 998, 1099, 0
4, 3, 0, 24015, 0, 1, 4192, 4198, 24, 0, 222.26, 49.85, 47.29, 47.67, 499, 1099, 0
4, 1, 0, 23917, 0, 1, 4210, 4217, 24, 0, 221.61, 49.85, 47.29, 47.67, 249, 1099, 0
4, 0, 0, 23939, 0, 1, 4226, 4233, 24, 0, 222.26, 49.98, 47.29, 47.54, 124, 1099, 0
4, 0, 0, 23934, 0, 1, 4242, 4248, 24, 0, 221.61, 49.85, 47.29, 47.67, 62, 1099, 0
4, 0, 0, 23933, 0, 1, 4262, 4268, 24, 0, 221.61, 49.85, 47.29, 47.67, 31, 1099, 0
4, 0, 0, 23933, 0, 1, 4282, 4288, 24, 0, 221.61, 49.85, 47.29, 47.67, 15, 1099, 0
4, 0, 0, 23933, 0, 1, 4304, 4311, 24, 0, 221.61, 49.85, 47.29, 47.67, 7, 1099, 0
4, 0, 0, 23933, 0, 1, 4320, 4327, 24, 0, 221.61, 49.85, 47.42, 47.67, 3, 1099, 0
4, 0, 0, 23933, 0, 1, 4336, 4343, 24, 0, 221.61, 49.85, 47.29, 47.54, 1, 1099, 0
4, 0, 0, 23933, 0, 1, 4352, 4359, 24, 0, 222.26, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4372, 4379, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4393, 4399, 24, 0, 221.61, 49.85, 47.29, 47.54, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4415, 4421, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4431, 4437, 24, 0, 222.26, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4447, 4453, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4463, 4469, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4488, 4494, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4508, 4514, 24, 0, 222.26, 49.72, 47.29, 47.54, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4530, 4537, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4546, 4553, 24, 0, 221.61, 49.72, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4562, 4568, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4578, 4584, 24, 0, 221.61, 49.72, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4598, 4605, 24, 0, 222.26, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4618, 4625, 24, 0, 221.61, 49.85, 47.29, 47.54, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4638, 4645, 24, 0, 222.26, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4661, 4667, 24, 0, 221.61, 49.72, 47.29, 47.54, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4677, 4683, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4692, 4699, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4708, 4715, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4728, 4735, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4749, 4755, 24, 0, 221.61, 49.72, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4771, 4778, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4787, 4794, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4803, 4810, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4819, 4825, 24, 0, 221.61, 49.72, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4839, 4846, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4859, 4866, 24, 0, 221.61, 49.85, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4882, 4888, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4897, 4904, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4913, 4919, 24, 0, 221.61, 49.72, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4933, 4940, 24, 0, 222.26, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4950, 4957, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4966, 4972, 24, 0, 222.26, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 4985, 4991, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5006, 5012, 24, 0, 222.26, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5026, 5032, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5046, 5052, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5066, 5072, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5084, 5090, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5100, 5106, 24, 0, 222.26, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5118, 5124, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5134, 5140, 24, 0, 221.61, 49.85, 47.42, 47.54, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5149, 5156, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5165, 5172, 24, 0, 221.61, 49.85, 47.17, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5181, 5188, 24, 0, 222.26, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5201, 5207, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5219, 5226, 24, 0, 221.61, 49.72, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5235, 5242, 24, 0, 222.26, 49.85, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5251, 5257, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5269, 5276, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5285, 5292, 24, 0, 221.61, 49.85, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5301, 5308, 24, 0, 222.26, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5324, 5330, 24, 0, 222.26, 49.85, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5340, 5346, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5361, 5368, 24, 0, 221.61, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5381, 5388, 24, 0, 221.61, 49.85, 47.42, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5401, 5408, 24, 0, 222.26, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5422, 5428, 24, 0, 222.26, 49.85, 47.29, 47.67, 0, 1099, 0
4, 0, 0, 23933, 0, 1, 5442, 5448, 24, 0, 221.61, 49.98, 47.29, 47.67, 0, 1099, 0
